,company_Name,company_website,Industry_Type,company_location,emp_size
0,Amazon,https://www.aboutamazon.com/,Software Development,"Seattle, WA","10,001+"
1,Wells Fargo,http://www.wellsfargo.com,Financial Services,"San Francisco, California","10,001+"
2,JPMorganChase,http://www.jpmorganchase.com,Financial Services,"New York, NY","10,001+"
3,Bank of America,https://www.bankofamerica.com,Banking,"Charlotte, NC","10,001+"
4,Alphabet Inc.,http://www.abc.xyz,Holding Companies,"Mountain View, CA",2-10
5,AT&T,http://www.att.com,Telecommunications,"Dallas, TX","10,001+"
6,UnitedHealth Group,https://www.unitedhealthgroup.com/,Hospitals and Health Care,Public Company,"10,001+"
7,Apple,http://www.apple.com/careers,Computers and Electronics Manufacturing,"Cupertino, California","10,001+"
8,Thoughtworks,http://www.thoughtworks.com,Information Technology & Services,"Chicago, IL","10,001+"
9,Kaiser Permanente,http://kp.org,Hospitals and Health Care,"Oakland, California","10,001+"
10,Boeing,http://www.boeing.com,Aviation & Aerospace,"Arlington, VA","10,001+"
11,Verizon,https://mycareer.verizon.com/,IT Services and IT Consulting,"Basking Ridge, NJ","10,001+"
12,Comcast,https://corporate.comcast.com/,Telecommunications,"Philadelphia, PA","10,001+"
13,Citi,http://www.citigroup.com,Financial Services,"New York, New York","10,001+"
14,Accenture,http://www.accenture.com,Business Consulting and Services,Dublin 2,"10,001+"
15,IBM,http://www.ibm.com,IT Services and IT Consulting,"Armonk, New York, NY","10,001+"
16,Lockheed Martin,https://www.lockheedmartin.com,Defense and Space Manufacturing,"Bethesda, MD","10,001+"
17,GE,http://www.ge.com,Industrial Machinery Manufacturing,"Boston, MA","10,001+"
18,The Walt Disney Company,http://www.disneycareers.com,Entertainment Providers,"Burbank, CA","10,001+"
19,Northrop Grumman,https://www.northropgrumman.com/,Defense and Space Manufacturing,"Falls Church, VA","10,001+"
20,UPS,https://about.ups.com/,Truck Transportation,"Atlanta, GA","10,001+"
21,FedEx,http://careers.fedex.com,Freight and Package Transportation,"Memphis, TN","10,001+"
22,Dell Technologies,http://www.delltechnologies.com,Computer Hardware Manufacturing,"Round Rock, Texas","10,001+"
23,Edwards Lifesciences,http://www.edwards.com,Medical Equipment Manufacturing,"Irvine, CA","10,001+"
24,PwC,https://www.pwc.com/gx/en,Professional Services,Privately Held,"10,001+"
25,Mastercard,http://www.mastercard.com,IT Services and IT Consulting,"Purchase, NY","10,001+"
26,State Farm,https://www.statefarm.com/careers,Insurance,"Bloomington, Illinois","10,001+"
27,"Lowe's Companies, Inc.",https://talent.lowes.com,Retail,"Mooresville, NC","10,001+"
28,Fidelity Investments,http://www.fidelity.com,Financial Services,"Boston, MA","10,001+"
29,Intel Corporation,http://www.intel.com,Semiconductor Manufacturing,"Santa Clara, California","10,001+"
30,Oracle,http://www.oracle.com,IT Services and IT Consulting,"Austin, Texas","10,001+"
31,Deutsche Telekom,https://www.telekom.com/careers,Telekommunikation,"Bonn, Germany",10.001+
32,Eli Lilly and Company,http://www.lilly.com/,Pharmaceutical Manufacturing,"Indianapolis, Indiana","10,001+"
33,EY,http://www.ey.com,IT Services and IT Consulting,London,"10,001+"
34,RTX,https://www.rtx.com/,Aviation and Aerospace Component Manufacturing,"Arlington, VA","10,001+"
35,Capital One,http://www.capitalone.com,Financial Services,"McLean, Va","10,001+"
36,U.S. Bank,https://www.usbank.com/index.html,Banking,"Minneapolis, MN","10,001+"
37,Ford Motor Company,https://corporate.ford.com/careers,Motor Vehicle Manufacturing,"Dearborn, Michigan","10,001+"
38,PepsiCo,http://www.pepsico.com,Food and Beverage Services,"Purchase, New York","10,001+"
39,Tetra Pak,https://www.tetrapak.com,Verpackungsindustrie,"CH-1009 PULLY/LAUSANNE, Switzerland",10.001+
40,Bristol Myers Squibb,http://www.bms.com,Pharmaceutical Manufacturing,"Lawrence Township, NJ","10,001+"
41,Morgan Stanley,http://www.morganstanley.com,Financial Services,"New York, NY","10,001+"
42,Medtronic,http://www.medtronic.com,Medical Equipment Manufacturing,"Minneapolis, MN","10,001+"
43,Delta Air Lines,http://www.delta.com,Airlines and Aviation,"Atlanta, Georgia","10,001+"
44,CFGI,http://www.cfgi.com,Business Consulting and Services,"Boston, MA","501-1,000"
45,Siemens,http://www.siemens.com,Herstellung von Automatisierungsanlagen,Munich,10.001+
46,Vitesco Technologies,https://vitesco-technologies.com,Fahrzeugbau,"Regensburg, Bayern",10.001+
47,Synchrony,https://www.synchrony.com,Financial Services,"Stamford, Connecticut","10,001+"
48,Atlassian,http://www.atlassian.com/,Software Development,"Sydney, NSW","10,001+"
49,Tata Consultancy Services,https://www.tcs.com/,IT Services and IT Consulting,"Mumbai, Maharashtra","10,001+"
